time/s	Ewe/V	<I>/mA	
6.501999835745664E-001	2.4176671E-001	-1.432309786367696E+000
6.751999829430133E-001	2.4132539E-001	-1.509309385046356E+000
7.001999823114602E-001	2.4081489E-001	-1.501036678403619E+000
7.251999816799071E-001	2.4028532E-001	-1.442491648595313E+000
7.501999810483539E-001	2.3970567E-001	-1.422128126695746E+000
7.751999804168008E-001	2.3925956E-001	-1.345764752477410E+000
8.001999797852477E-001	2.3878723E-001	-1.472400436954344E+000
8.251999791536946E-001	2.3829582E-001	-1.521400231681767E+000
8.501999785221415E-001	2.3777817E-001	-1.350219383898660E+000
8.751999778905883E-001	2.3726054E-001	-1.633399631753569E+000
9.001999772590352E-001	2.3676436E-001	-1.646126773724106E+000
9.251999766274821E-001	2.3623239E-001	-1.520763800058049E+000
9.501999759959290E-001	2.3581731E-001	-1.597126929115046E+000
9.751999753643759E-001	2.3530681E-001	-1.662672128350252E+000
1.000199974732823E+000	2.3474385E-001	-1.569127275336079E+000
1.025199974101270E+000	2.3429297E-001	-1.564036304597984E+000
1.050199973469717E+000	2.3371810E-001	-1.502309458883248E+000
1.075199972838163E+000	2.3328631E-001	-1.708490084988291E+000
1.100199972206610E+000	2.3279729E-001	-1.739671747443506E+000
1.125199971575057E+000	2.3228681E-001	-1.689399286210538E+000
1.150199970943504E+000	2.3180255E-001	-1.656944845350230E+000
1.175199970311951E+000	2.3125866E-001	-1.576763582429848E+000
1.200199969680398E+000	2.3074578E-001	-1.713580930829053E+000
1.225199969048845E+000	2.3031402E-001	-1.654399420756384E+000
1.250199968417292E+000	2.2977489E-001	-1.715489935422092E+000
1.275199967785738E+000	2.2929540E-001	-1.719944545254108E+000
1.300199967154185E+000	2.2879444E-001	-1.728217173144227E+000
1.325199966522632E+000	2.2825058E-001	-1.654399542286995E+000
1.350199965891079E+000	2.2777586E-001	-1.650581269854449E+000
1.375199965259526E+000	2.2731069E-001	-1.758762476954145E+000
1.400199964627973E+000	2.2678348E-001	-1.771489692169716E+000
1.425199963996420E+000	2.2626586E-001	-1.717399050444364E+000
1.450199963364867E+000	2.2576013E-001	-1.800762246549134E+000
1.475199962733313E+000	2.2527349E-001	-1.763216982632872E+000
1.500199962101760E+000	2.2479402E-001	-1.784216916076840E+000
1.525199961470207E+000	2.2425967E-001	-1.784216904118662E+000
1.550199960838654E+000	2.2377782E-001	-1.753035176396367E+000
1.575199960207101E+000	2.2326015E-001	-1.855489187452484E+000
1.600199959575548E+000	2.2280450E-001	-1.911488983556628E+000
1.625199958943995E+000	2.2225824E-001	-1.795671374648805E+000
1.650199958312442E+000	2.2177877E-001	-1.792489586994066E+000
1.675199957680888E+000	2.2126111E-001	-1.878398222682296E+000
1.700199957049335E+000	2.2088182E-001	-1.766398798135344E+000
1.725199956417782E+000	2.2024968E-001	-1.896216313156771E+000
1.750199955786229E+000	2.1983461E-001	-1.886034563854345E+000
1.775199955154676E+000	2.1927878E-001	-1.882216353038098E+000
1.800199954523123E+000	2.1874920E-001	-1.803944064304233E+000
1.825199953891570E+000	2.1832936E-001	-1.770853331312541E+000
1.850199953260017E+000	2.1775445E-001	-1.732035377398136E+000
1.875199952628464E+000	2.1731792E-001	-1.830671214833860E+000
1.900199951996910E+000	2.1682411E-001	-1.987215811461219E+000
1.925199951365357E+000	2.1630171E-001	-1.898125359639522E+000
1.950199950733804E+000	2.1582699E-001	-1.875852738991380E+000
1.975199950102251E+000	2.1529505E-001	-1.915307077616447E+000
2.000199949470698E+000	2.1478932E-001	-1.949034084230664E+000
2.025199948839145E+000	2.1427883E-001	-1.944579669907689E+000
2.050199948207592E+000	2.1380651E-001	-1.931852433234454E+000
2.075199947576039E+000	2.1327929E-001	-1.919125296983401E+000
2.100199946944485E+000	2.1280460E-001	-1.915943454951051E+000
2.125199946312932E+000	2.1228217E-001	-1.947125073522328E+000
2.150199945681379E+000	2.1176215E-001	-1.941397809684275E+000
2.175199945049826E+000	2.1128027E-001	-1.964943239018318E+000
2.200199944418273E+000	2.1079123E-001	-2.075033642873166E+000
2.225199943786720E+000	2.1035470E-001	-1.958579580634833E+000
2.250199943155167E+000	2.0977025E-001	-1.931216168776153E+000
2.275199942523614E+000	2.0935281E-001	-1.950943147391079E+000
2.300199941892060E+000	2.0881847E-001	-2.080124365538361E+000
2.325199941260507E+000	2.0828173E-001	-1.970034024715423E+000
2.350199940628954E+000	2.0785473E-001	-2.059124444425114E+000
2.375199939997401E+000	2.0734185E-001	-1.985943006500602E+000
2.400199939365848E+000	2.0680033E-001	-1.923579879328607E+000
2.425199938734295E+000	2.0632324E-001	-2.026670124754318E+000
2.450199938102742E+000	2.0576505E-001	-2.001852033957837E+000
2.475199937471189E+000	2.0534518E-001	-1.987852017059925E+000
2.500199936839635E+000	2.0486332E-001	-2.046397384777670E+000
2.525199936208082E+000	2.0424548E-001	-1.919125258103023E+000
2.550199935576529E+000	2.0378034E-001	-1.983397677615287E+000
2.575199934944976E+000	2.0331277E-001	-1.913397977564028E+000
2.600199934313423E+000	2.0283329E-001	-2.020942915305491E+000
2.625199933681870E+000	2.0233473E-001	-1.980215834677214E+000
2.650199933050317E+000	2.0175746E-001	-1.934397964477554E+000
2.675199932418764E+000	2.0131612E-001	-1.921670730784534E+000
2.700199931787211E+000	2.0076983E-001	-2.076306271255014E+000
2.725199931155657E+000	2.0024265E-001	-1.965579468384384E+000
2.750199930524104E+000	1.9980375E-001	-2.057851825729017E+000
2.775199929892551E+000	1.9931711E-001	-2.137396867871292E+000
2.800199929260998E+000	1.9876605E-001	-2.021579345613731E+000
2.825199928629445E+000	1.9834143E-001	-1.985306705236436E+000
2.850199927997892E+000	1.9781901E-001	-1.989761207848790E+000
2.875199927366339E+000	1.9729897E-001	-1.860580071806911E+000
