time/s,<Ewe>/V,I/mA
100.7013975,1.321518064,47.75764847
100.8013975,1.321557879,47.88496017
100.9013975,1.321589589,48.17140961
101.0013974,1.321617961,48.01226425
101.1013974,1.321642876,48.17140961
101.2013974,1.32167697,47.47119522
101.3013974,1.321693182,47.69399261
101.4013974,1.321690321,47.85313034
101.5013974,1.321669102,47.82129669
101.6013974,1.321641088,48.20323181
101.7013974,1.32165134,47.88496017
101.8013974,1.321665645,47.88496017
101.9013974,1.321680069,47.78947449
102.0013974,1.321681619,48.01226425
102.1013974,1.321700096,47.63032913
102.2013974,1.321725845,47.9486084
102.3013974,1.321736336,47.91678238
102.4013974,1.321781158,47.85313034
102.5013974,1.321858168,47.66216278
102.6013974,1.321902156,47.69399261
102.7013974,1.321911454,47.72581482
102.8013974,1.321918964,47.91678238
102.9013974,1.321920872,47.59850693
103.0013974,1.321912408,47.78947449
103.1013974,1.321900487,47.56668091
103.2013974,1.32189405,47.63032913
103.3013974,1.321915269,47.98044205
103.4013974,1.321934342,48.10774994
103.5013974,1.321972966,47.98044205
103.6013974,1.321996331,47.78947449
103.7013974,1.322000504,47.75764847
103.8013974,1.321995139,47.53485107
103.9013974,1.322024584,48.10774994
104.0013974,1.322086215,47.50302505
104.1013974,1.322130084,47.85313034
104.2013974,1.322152495,47.50302505
104.3013974,1.322146297,47.50302505
104.4013974,1.32214725,47.59850693
104.5013974,1.32213819,47.4393692
104.6013974,1.322117925,47.37571335
104.7013974,1.322119951,47.9486084
104.8013974,1.322162986,47.63032913
104.9013973,1.322200298,47.91678238
105.0013973,1.322221398,47.85313034
105.1013973,1.322251678,47.63032913
105.2013973,1.322258115,47.69399261
105.3013973,1.322266579,47.78947449
105.4013973,1.32224977,47.91678238
105.5013973,1.322242498,47.69399261
105.6013973,1.322227716,47.82129669
105.7013973,1.322271824,47.66216278
105.8013973,1.322365046,48.07592773
105.9013973,1.322437406,47.69399261
106.0013973,1.322451949,48.23506165
106.1013973,1.322450638,47.78947449
106.2013973,1.322422028,47.82129669
106.3013973,1.322442651,47.82129669
106.4013973,1.322470069,47.85313034
106.5013973,1.322490096,47.50302505
106.6013973,1.322509408,47.69399261
106.7013973,1.322531819,47.91678238
106.8013973,1.322533011,47.91678238
106.9013973,1.322511196,47.75764847
107.0013973,1.322508454,47.82129669
107.1013973,1.322496176,47.59850693
107.2013973,1.322464585,47.50302505
107.3013973,1.322443247,48.07592773
107.4013973,1.322430968,47.91678238
107.5013973,1.322421432,47.56668091
107.6013973,1.322434187,47.75764847
107.7013973,1.322432995,47.75764847
107.8013973,1.322442889,47.69399261
107.9013973,1.322483778,47.37571335
108.0013973,1.322542787,47.91678238
108.1013973,1.322607994,47.47119522
108.2013973,1.322631955,47.59850693
108.3013973,1.322614908,47.88496017
108.4013973,1.322615027,47.56668091
108.5013973,1.322603583,47.63032913
108.6013973,1.322587371,47.82129669
