time/s	Ewe/V	I/mA	
2.001015949450084E+002	2.7623922E-001	1.2637744E+002
2.002015949424822E+002	5.0943649E-001	1.4432280E+002
2.003015949399560E+002	6.8273681E-001	1.4508644E+002
2.004015949374298E+002	8.6901414E-001	1.4457735E+002
2.005015949349036E+002	1.0026773E+000	1.4534097E+002
2.006015949323773E+002	1.0697379E+000	1.4457735E+002
2.007015949298511E+002	1.1156155E+000	1.4521370E+002
2.008015949273249E+002	1.1487832E+000	1.4483188E+002
2.009015949247987E+002	1.1709394E+000	1.4534097E+002
2.010015949222725E+002	1.1865692E+000	1.4495915E+002
2.011015949197463E+002	1.1979622E+000	1.4597733E+002
2.012015949172201E+002	1.2070462E+000	1.4368643E+002
2.013015949146939E+002	1.2148323E+000	1.4521370E+002
2.014015949121676E+002	1.2221414E+000	1.4381371E+002
2.015015949096414E+002	1.2290307E+000	1.4559552E+002
2.016015949071152E+002	1.2356337E+000	1.4432280E+002
2.017015949045890E+002	1.2421986E+000	1.4546825E+002
2.018015949020628E+002	1.2485534E+000	1.4585007E+002
2.019015948995366E+002	1.2545267E+000	1.4508644E+002
2.020015948970104E+002	1.2604427E+000	1.4457735E+002
2.021015948944842E+002	1.2663014E+000	1.4381371E+002
2.022015948919579E+002	1.2718548E+000	1.4445007E+002
2.023015948894317E+002	1.2772174E+000	1.4508644E+002
2.024015948869055E+002	1.2821028E+000	1.4406825E+002
2.025015948843793E+002	1.2869310E+000	1.4483188E+002
2.026015948818531E+002	1.2917020E+000	1.4610461E+002
2.027015948793269E+002	1.2961485E+000	1.4406825E+002
2.028015948768007E+002	1.3000607E+000	1.4330461E+002
2.029015948742745E+002	1.3038393E+000	1.4355917E+002
2.030015948717482E+002	1.3069309E+000	1.4457735E+002
2.031015948692220E+002	1.3096217E+000	1.4495915E+002
2.032015948666958E+002	1.3122934E+000	1.4521370E+002
2.033015948641696E+002	1.3142973E+000	1.4483188E+002
2.034015948616434E+002	1.3158048E+000	1.4534097E+002
2.035015948591172E+002	1.3171026E+000	1.4585007E+002
2.036015948565910E+002	1.3183621E+000	1.4483188E+002
2.037015948540648E+002	1.3192209E+000	1.4559552E+002
2.038015948515385E+002	1.3200225E+000	1.4457735E+002
2.039015948490123E+002	1.3204231E+000	1.4495915E+002
2.040015948464861E+002	1.3210720E+000	1.4406825E+002
2.041015948439599E+002	1.3214346E+000	1.4610461E+002
2.042015948414337E+002	1.3215873E+000	1.4470462E+002
2.043015948389075E+002	1.3218735E+000	1.4559552E+002
2.044015948363813E+002	1.3219881E+000	1.4470462E+002
2.045015948338551E+002	1.3221979E+000	1.4495915E+002
2.046015948313288E+002	1.3224270E+000	1.4521370E+002
2.047015948288026E+002	1.3225605E+000	1.4432280E+002
2.048015948262764E+002	1.3226368E+000	1.4470462E+002
2.049015948237502E+002	1.3229613E+000	1.4419553E+002
