time/s	Ewe/V	I/mA	
2.191045944649522E+002	1.3332285E+000	1.4546825E+002
2.192045944624260E+002	1.3329804E+000	1.4534097E+002
2.193045944598998E+002	1.3331139E+000	1.4457735E+002
2.194045944573736E+002	1.3331521E+000	1.4457735E+002
2.195045944548474E+002	1.3332475E+000	1.4406825E+002
2.196045944523212E+002	1.3330376E+000	1.4610461E+002
2.197045944497950E+002	1.3331139E+000	1.4406825E+002
2.198045944472688E+002	1.3331139E+000	1.4457735E+002
2.199045944447425E+002	1.3330948E+000	1.4559552E+002
2.200045944422163E+002	1.3330376E+000	1.4432280E+002
2.201045944396901E+002	1.3330758E+000	1.4559552E+002
2.202045944371639E+002	1.3333238E+000	1.4394099E+002
2.203045944346377E+002	1.3331521E+000	1.4559552E+002
2.204045944321115E+002	1.3332857E+000	1.4457735E+002
2.205045944295853E+002	1.3333620E+000	1.4508644E+002
2.206045944270591E+002	1.3331902E+000	1.4546825E+002
2.207045944245328E+002	1.3333429E+000	1.4432280E+002
2.208045944220066E+002	1.3331711E+000	1.4445007E+002
2.209045944194804E+002	1.3331521E+000	1.4546825E+002
2.210045944169542E+002	1.3331902E+000	1.4508644E+002
2.211045944144280E+002	1.3331711E+000	1.4712277E+002
2.212045944119018E+002	1.3333429E+000	1.4457735E+002
2.213045944093756E+002	1.3331711E+000	1.4508644E+002
2.214045944068494E+002	1.3333238E+000	1.4585007E+002
2.215045944043231E+002	1.3331521E+000	1.4470462E+002
2.216045944017969E+002	1.3331902E+000	1.4508644E+002
2.217045943992707E+002	1.3330758E+000	1.4572279E+002
2.218045943967445E+002	1.3334575E+000	1.4508644E+002
2.219045943942183E+002	1.3332857E+000	1.4457735E+002
2.220045943916921E+002	1.3335528E+000	1.4495915E+002
2.221045943891659E+002	1.3332857E+000	1.4445007E+002
2.222045943866397E+002	1.3333620E+000	1.4521370E+002
2.223045943841134E+002	1.3333048E+000	1.4457735E+002
2.224045943815872E+002	1.3333429E+000	1.4432280E+002
2.225045943790610E+002	1.3335719E+000	1.4483188E+002
2.226045943765348E+002	1.3334575E+000	1.4534097E+002
2.227045943740086E+002	1.3332666E+000	1.4559552E+002
2.228045943714824E+002	1.3333048E+000	1.4432280E+002
2.229045943689562E+002	1.3333048E+000	1.4470462E+002
2.230045943664300E+002	1.3333048E+000	1.4457735E+002
2.231045943639037E+002	1.3333238E+000	1.4534097E+002
2.232045943613775E+002	1.3333811E+000	1.4495915E+002
2.233045943588513E+002	1.3333238E+000	1.4495915E+002
2.234045943563251E+002	1.3332475E+000	1.4457735E+002
2.235045943537989E+002	1.3332666E+000	1.4432280E+002
2.236045943512727E+002	1.3334001E+000	1.4470462E+002
2.237045943487465E+002	1.3335147E+000	1.4508644E+002
2.238045943462203E+002	1.3333048E+000	1.4483188E+002
2.239045943436940E+002	1.3334956E+000	1.4445007E+002
2.240045943411678E+002	1.3334956E+000	1.4534097E+002
2.241045943386416E+002	1.3334193E+000	1.4457735E+002
2.242045943361154E+002	1.3333811E+000	1.4572279E+002
2.243045943335892E+002	1.3334001E+000	1.4368643E+002
2.244045943310630E+002	1.3332475E+000	1.4381371E+002
2.245045943285368E+002	1.3332094E+000	1.4546825E+002
2.246045943260106E+002	1.3334001E+000	1.4483188E+002
2.247045943234843E+002	1.3333620E+000	1.4546825E+002
2.248045943209581E+002	1.3331902E+000	1.4559552E+002
2.249045943184319E+002	1.3332666E+000	1.4432280E+002
2.250045943159057E+002	1.3334384E+000	1.4445007E+002
2.251045943133795E+002	1.3332857E+000	1.4330461E+002
2.252045943108533E+002	1.3333811E+000	1.4508644E+002
2.253045943083271E+002	1.3335719E+000	1.4457735E+002
2.254045943058009E+002	1.3335719E+000	1.4470462E+002
2.255045943032746E+002	1.3333429E+000	1.4610461E+002
2.256045943007484E+002	1.3335147E+000	1.4381371E+002
2.257045942982222E+002	1.3334193E+000	1.4508644E+002
2.258045942956960E+002	1.3333811E+000	1.4495915E+002
2.259045942931698E+002	1.3333048E+000	1.4406825E+002
2.260045942906436E+002	1.3334384E+000	1.4508644E+002
2.261045942881174E+002	1.3333238E+000	1.4432280E+002
2.262045942855912E+002	1.3335147E+000	1.4445007E+002
2.263045942830649E+002	1.3333238E+000	1.4381371E+002
2.264045942805387E+002	1.3332857E+000	1.4521370E+002
2.265045942780125E+002	1.3334001E+000	1.4559552E+002
2.266045942754863E+002	1.3334575E+000	1.4470462E+002
2.267045942729601E+002	1.3334001E+000	1.4508644E+002
2.268045942704339E+002	1.3337246E+000	1.4508644E+002
2.269045942679077E+002	1.3334193E+000	1.4381371E+002
2.270045942653815E+002	1.3335719E+000	1.4457735E+002
2.271045942628552E+002	1.3335719E+000	1.4406825E+002
2.272045942603290E+002	1.3335910E+000	1.4394099E+002
2.273045942578028E+002	1.3333048E+000	1.4470462E+002
2.274045942552766E+002	1.3335528E+000	1.4648642E+002
2.275045942527504E+002	1.3336291E+000	1.4483188E+002
2.276045942502242E+002	1.3333811E+000	1.4470462E+002
2.277045942476980E+002	1.3337055E+000	1.4419553E+002
2.278045942451718E+002	1.3334384E+000	1.4419553E+002
2.279045942426455E+002	1.3332666E+000	1.4610461E+002
2.280045942401193E+002	1.3334384E+000	1.4559552E+002
2.281045942375931E+002	1.3333429E+000	1.4597733E+002
2.282045942350669E+002	1.3336101E+000	1.4483188E+002
2.283045942325407E+002	1.3335147E+000	1.4546825E+002
2.284045942300145E+002	1.3336483E+000	1.4406825E+002
2.285045942274883E+002	1.3335147E+000	1.4394099E+002
2.286045942249621E+002	1.3337055E+000	1.4483188E+002
2.287045942224358E+002	1.3336101E+000	1.4470462E+002
2.288045942199096E+002	1.3337628E+000	1.4445007E+002
2.289045942173834E+002	1.3335528E+000	1.4572279E+002
2.290045942148572E+002	1.3334001E+000	1.4534097E+002
2.291045942123310E+002	1.3335528E+000	1.4343190E+002
2.292045942098048E+002	1.3337818E+000	1.4559552E+002
2.293045942072786E+002	1.3334765E+000	1.4559552E+002
2.294045942047524E+002	1.3333048E+000	1.4470462E+002
2.295045942022261E+002	1.3336101E+000	1.4470462E+002
2.296045941996999E+002	1.3336101E+000	1.4495915E+002
2.297045941971737E+002	1.3335528E+000	1.4445007E+002
2.298045941946475E+002	1.3335338E+000	1.4457735E+002
2.299045941921213E+002	1.3336291E+000	1.4495915E+002
2.300045941895951E+002	1.3335910E+000	1.4457735E+002
2.301045941870689E+002	1.3336674E+000	1.4432280E+002
2.302045941845427E+002	1.3335147E+000	1.4572279E+002
2.303045941820164E+002	1.3335910E+000	1.4470462E+002
2.304045941794902E+002	1.3333620E+000	1.4483188E+002
2.305045941769640E+002	1.3334575E+000	1.4394099E+002
2.306045941744378E+002	1.3334575E+000	1.4394099E+002
2.307045941719116E+002	1.3336483E+000	1.4508644E+002
2.308045941693854E+002	1.3335910E+000	1.4470462E+002
2.309045941668592E+002	1.3333429E+000	1.4368643E+002
2.310045941643330E+002	1.3334956E+000	1.4457735E+002
2.311045941618067E+002	1.3334956E+000	1.4585007E+002
2.312045941592805E+002	1.3335528E+000	1.4368643E+002
2.313045941567543E+002	1.3336291E+000	1.4381371E+002
2.314045941542281E+002	1.3334956E+000	1.4432280E+002
2.315045941517019E+002	1.3338583E+000	1.4457735E+002
2.316045941491757E+002	1.3336101E+000	1.4495915E+002
2.317045941466495E+002	1.3335147E+000	1.4546825E+002
2.318045941441233E+002	1.3336101E+000	1.4483188E+002
2.319045941415970E+002	1.3335528E+000	1.4457735E+002
2.320045941390708E+002	1.3336674E+000	1.4508644E+002
2.321045941365446E+002	1.3335528E+000	1.4635915E+002
2.322045941340184E+002	1.3335910E+000	1.4508644E+002
2.323045941314922E+002	1.3335719E+000	1.4508644E+002
2.324045941289660E+002	1.3337818E+000	1.4457735E+002
2.325045941264398E+002	1.3337628E+000	1.4419553E+002
2.326045941239136E+002	1.3335338E+000	1.4381371E+002
2.327045941213873E+002	1.3335719E+000	1.4394099E+002
2.328045941188611E+002	1.3333811E+000	1.4470462E+002
2.329045941163349E+002	1.3336865E+000	1.4381371E+002
2.330045941138087E+002	1.3335338E+000	1.4495915E+002
2.331045941112825E+002	1.3334956E+000	1.4521370E+002
2.332045941087563E+002	1.3335910E+000	1.4317735E+002
2.333045941062301E+002	1.3334765E+000	1.4597733E+002
2.334045941037039E+002	1.3336291E+000	1.4546825E+002
2.335045941011776E+002	1.3338583E+000	1.4445007E+002
2.336045940986514E+002	1.3336101E+000	1.4406825E+002
2.337045940961252E+002	1.3336674E+000	1.4483188E+002
2.338045940935990E+002	1.3335338E+000	1.4406825E+002
2.339045940910728E+002	1.3335338E+000	1.4330461E+002
2.340045940885466E+002	1.3337246E+000	1.4534097E+002
2.341045940860204E+002	1.3337246E+000	1.4521370E+002
2.342045940834942E+002	1.3336483E+000	1.4495915E+002
2.343045940809679E+002	1.3335528E+000	1.4546825E+002
2.344045940784417E+002	1.3338391E+000	1.4585007E+002
2.345045940759155E+002	1.3336483E+000	1.4406825E+002
2.346045940733893E+002	1.3337246E+000	1.4508644E+002
2.347045940708631E+002	1.3335910E+000	1.4546825E+002
2.348045940683369E+002	1.3338391E+000	1.4457735E+002
2.349045940658107E+002	1.3337628E+000	1.4432280E+002
2.350045940632845E+002	1.3336101E+000	1.4508644E+002
2.351045940607582E+002	1.3336865E+000	1.4572279E+002
2.352045940582320E+002	1.3335338E+000	1.4635915E+002
2.353045940557058E+002	1.3337055E+000	1.4445007E+002
2.354045940531796E+002	1.3337818E+000	1.4445007E+002
2.355045940506534E+002	1.3337246E+000	1.4381371E+002
2.356045940481272E+002	1.3337055E+000	1.4368643E+002
2.357045940456010E+002	1.3336291E+000	1.4508644E+002
2.358045940430748E+002	1.3336483E+000	1.4394099E+002
2.359045940405485E+002	1.3337055E+000	1.4508644E+002
2.360045940380223E+002	1.3335338E+000	1.4343190E+002
2.361045940354961E+002	1.3336865E+000	1.4355917E+002
2.362045940329699E+002	1.3335147E+000	1.4457735E+002
2.363045940304437E+002	1.3338009E+000	1.4419553E+002
2.364045940279175E+002	1.3338583E+000	1.4597733E+002
2.365045940253913E+002	1.3339345E+000	1.4483188E+002
2.366045940228651E+002	1.3336291E+000	1.4495915E+002
2.367045940203388E+002	1.3336483E+000	1.4457735E+002
2.368045940178126E+002	1.3337628E+000	1.4457735E+002
2.369045940152864E+002	1.3338964E+000	1.4470462E+002
2.370045940127602E+002	1.3337246E+000	1.4432280E+002
2.371045940102340E+002	1.3339345E+000	1.4457735E+002
2.372045940077078E+002	1.3337437E+000	1.4470462E+002
2.373045940051816E+002	1.3337437E+000	1.4445007E+002
2.374045940026554E+002	1.3338009E+000	1.4521370E+002
2.375045940001291E+002	1.3337246E+000	1.4432280E+002
2.376045939976029E+002	1.3336101E+000	1.4534097E+002
2.377045939950767E+002	1.3337246E+000	1.4330461E+002
2.378045939925505E+002	1.3337818E+000	1.4546825E+002
2.379045939900243E+002	1.3335910E+000	1.4457735E+002
2.380045939874981E+002	1.3338964E+000	1.4508644E+002
2.381045939849719E+002	1.3336865E+000	1.4495915E+002
2.382045939824457E+002	1.3338009E+000	1.4445007E+002
2.383045939799194E+002	1.3336674E+000	1.4445007E+002
2.384045939773932E+002	1.3337055E+000	1.4343190E+002
2.385045939748670E+002	1.3338583E+000	1.4381371E+002
2.386045939723408E+002	1.3336483E+000	1.4330461E+002
2.387045939698146E+002	1.3338391E+000	1.4457735E+002
2.388045939672884E+002	1.3337437E+000	1.4470462E+002
2.389045939647622E+002	1.3338009E+000	1.4495915E+002
2.390045939622360E+002	1.3339918E+000	1.4508644E+002
2.391045939597097E+002	1.3338583E+000	1.4432280E+002
2.392045939571835E+002	1.3338583E+000	1.4521370E+002
2.393045939546573E+002	1.3338773E+000	1.4521370E+002
2.394045939521311E+002	1.3340299E+000	1.4521370E+002
2.395045939496049E+002	1.3338200E+000	1.4457735E+002
2.396045939470787E+002	1.3338773E+000	1.4445007E+002
2.397045939445525E+002	1.3338009E+000	1.4457735E+002
2.398045939420263E+002	1.3338200E+000	1.4534097E+002
2.399045939395000E+002	1.3339918E+000	1.4406825E+002
2.400045939369738E+002	1.3338773E+000	1.4546825E+002
2.401045939344476E+002	1.3338964E+000	1.4470462E+002
2.402045939319214E+002	1.3338964E+000	1.4508644E+002
2.403045939293952E+002	1.3337818E+000	1.4534097E+002
2.404045939268690E+002	1.3337818E+000	1.4457735E+002
2.405045939243428E+002	1.3338773E+000	1.4534097E+002
2.406045939218166E+002	1.3338391E+000	1.4534097E+002
2.407045939192903E+002	1.3336483E+000	1.4445007E+002
2.408045939167641E+002	1.3338200E+000	1.4432280E+002
2.409045939142379E+002	1.3338964E+000	1.4572279E+002
2.410045939117117E+002	1.3339155E+000	1.4470462E+002
2.411045939091855E+002	1.3338391E+000	1.4432280E+002
2.412045939066593E+002	1.3337818E+000	1.4406825E+002
2.413045939041331E+002	1.3338391E+000	1.4559552E+002
2.414045939016069E+002	1.3337055E+000	1.4521370E+002
2.415045938990806E+002	1.3338964E+000	1.4432280E+002
2.416045938965544E+002	1.3337818E+000	1.4368643E+002
2.417045938940282E+002	1.3338773E+000	1.4521370E+002
2.418045938915020E+002	1.3338200E+000	1.4483188E+002
2.419045938889758E+002	1.3338391E+000	1.4483188E+002
2.420045938864496E+002	1.3337818E+000	1.4534097E+002
2.421045938839234E+002	1.3338200E+000	1.4508644E+002
2.422045938813972E+002	1.3339918E+000	1.4508644E+002
2.423045938788709E+002	1.3340490E+000	1.4445007E+002
2.424045938763447E+002	1.3339727E+000	1.4585007E+002
2.425045938738185E+002	1.3338964E+000	1.4445007E+002
2.426045938712923E+002	1.3338773E+000	1.4432280E+002
2.427045938687661E+002	1.3340299E+000	1.4521370E+002
2.428045938662399E+002	1.3339345E+000	1.4572279E+002
2.429045938637137E+002	1.3337437E+000	1.4368643E+002
2.430045938611875E+002	1.3339918E+000	1.4432280E+002
2.431045938586612E+002	1.3338773E+000	1.4508644E+002
2.432045938561350E+002	1.3338391E+000	1.4559552E+002
2.433045938536088E+002	1.3336483E+000	1.4470462E+002
2.434045938510826E+002	1.3338391E+000	1.4546825E+002
2.435045938485564E+002	1.3339727E+000	1.4406825E+002
2.436045938460302E+002	1.3340299E+000	1.4534097E+002
2.437045938435040E+002	1.3338200E+000	1.4343190E+002
2.438045938409778E+002	1.3339727E+000	1.4445007E+002
2.439045938384515E+002	1.3339155E+000	1.4394099E+002
2.440045938359253E+002	1.3338964E+000	1.4457735E+002
2.441045938333991E+002	1.3338583E+000	1.4483188E+002
2.442045938308729E+002	1.3339918E+000	1.4457735E+002
2.443045938283467E+002	1.3339536E+000	1.4483188E+002
2.444045938258205E+002	1.3340681E+000	1.4457735E+002
2.445045938232943E+002	1.3339918E+000	1.4470462E+002
2.446045938207681E+002	1.3339727E+000	1.4394099E+002
2.447045938182418E+002	1.3341063E+000	1.4534097E+002
2.448045938157156E+002	1.3338200E+000	1.4419553E+002
2.449045938131894E+002	1.3337246E+000	1.4368643E+002
2.450045938106632E+002	1.3338200E+000	1.4317735E+002
2.451045938081370E+002	1.3339727E+000	1.4483188E+002
2.452045938056108E+002	1.3338200E+000	1.4534097E+002
2.453045938030846E+002	1.3338391E+000	1.4457735E+002
2.454045938005584E+002	1.3338964E+000	1.4495915E+002
2.455045937980321E+002	1.3340108E+000	1.4457735E+002
2.456045937955059E+002	1.3338200E+000	1.4495915E+002
2.457045937929797E+002	1.3339727E+000	1.4470462E+002
2.458045937904535E+002	1.3340681E+000	1.4419553E+002
2.459045937879273E+002	1.3340108E+000	1.4432280E+002
2.460045937854011E+002	1.3339727E+000	1.4508644E+002
2.461045937828749E+002	1.3339727E+000	1.4534097E+002
2.462045937803487E+002	1.3339918E+000	1.4419553E+002
2.463045937778224E+002	1.3338964E+000	1.4419553E+002
2.464045937752962E+002	1.3338773E+000	1.4419553E+002
2.465045937727700E+002	1.3339155E+000	1.4419553E+002
2.466045937702438E+002	1.3338391E+000	1.4457735E+002
2.467045937677176E+002	1.3341445E+000	1.4457735E+002
2.468045937651914E+002	1.3339345E+000	1.4495915E+002
2.469045937626652E+002	1.3338391E+000	1.4483188E+002
2.470045937601390E+002	1.3341445E+000	1.4508644E+002
2.471045937576127E+002	1.3340681E+000	1.4508644E+002
2.472045937550865E+002	1.3339345E+000	1.4419553E+002
2.473045937525603E+002	1.3338773E+000	1.4394099E+002
2.474045937500341E+002	1.3340873E+000	1.4445007E+002
2.475045937475079E+002	1.3342208E+000	1.4445007E+002
2.476045937449817E+002	1.3340108E+000	1.4457735E+002
2.477045937424555E+002	1.3338391E+000	1.4368643E+002
2.478045937399293E+002	1.3339155E+000	1.4445007E+002
2.479045937374030E+002	1.3338964E+000	1.4406825E+002
2.480045937348768E+002	1.3341063E+000	1.4457735E+002
2.481045937323506E+002	1.3339727E+000	1.4508644E+002
